roundabout_id,osm_way_ids,latitude,longitude,municipality,city_code
227,[23770624],38.515786871428574,-9.008637199999999,Setúbal,STB
228,"[23780009, 628688002, 628688014, 628706445, 683628086, 768700715]",38.726172016129034,-9.194175329032257,Lisboa,LSB
229,"[23780055, 628634525, 628634528, 628935071, 628935072, 1227593233, 1227606860]",38.71334362380952,-9.203151380952379,Lisboa,LSB
230,"[23780058, 628935070, 628937023, 628937024, 1003264092, 1003264093]",38.713795617391305,-9.201023321739132,Lisboa,LSB
231,"[23780459, 1013807094, 1013834874, 1013834875, 1227751075, 1227751076]",38.647399965,-9.1596146875,Almada,ALM
232,"[23780479, 1016159798, 1016161669]",38.642035015,-9.148868375,Seixal,SXL
233,"[23780495, 1016428792, 1016428793, 1016428796, 1016430165, 1016430166]",38.63940533571429,-9.151948610714285,Seixal,SXL
234,"[23780532, 1016428794, 1272541752]",38.6372790875,-9.148535387499999,Seixal,SXL
235,[23801435],41.81716683636364,-6.755975118181819,Bragança,BGC
236,[23801631],41.81949855652174,-6.7547886391304335,Bragança,BGC
237,"[23820388, 23820389, 23820391, 23820397, 683268183, 683268184, 683286873, 683286874, 683644982, 692336823]",38.7610909,-9.120818295238093,Lisboa,LSB
238,"[23844700, 991086918, 991368560, 991368561, 991372692, 992531279]",38.73093790869565,-9.397526108695654,Cascais,CSC
239,"[23844817, 228691587, 228691589, 228691596, 992086271, 992086302]",38.7074337125,-9.4184301375,Cascais,CSC
240,"[23845536, 1275080081, 1275080082, 1275080087, 1278237593, 1278237644, 1306362372, 1306362378]",38.681782696153846,-9.329765342307692,Cascais,CSC
241,"[23846224, 1315362782, 1315362783, 1315366119]",38.749586076190475,-9.271399804761906,Sintra,SNT
242,"[23846267, 1278237610, 1278237611, 1278237634, 1330341898]",38.746750572222226,-9.264653811111112,Sintra,SNT
243,"[23847781, 1016076333, 1016076334, 1016076339]",38.66369623888889,-9.209261533333333,Almada,ALM
244,"[23848428, 891081349, 891081350, 891081351, 1013912738, 1013912765]",38.69332939565218,-8.950759256521739,Montijo,MTJ
245,"[23870636, 631812929, 631812930, 631812932, 1072793844]",38.686929426315785,-9.332698584210528,Cascais,CSC
246,"[23870690, 1072725531, 1072793845, 1301420881]",38.68739571111111,-9.337927788888889,Cascais,CSC
247,"[23889954, 1013919065, 1013919066, 1013919070, 1013927616, 1013927617, 1013927618, 1303782096]",38.714237548,-8.966129588,Montijo,MTJ
248,"[23890370, 1013912739, 1013912740, 1013912764]",38.69758872727272,-8.944836945454544,Montijo,MTJ
249,[23936557],40.22197694705882,-8.411908058823528,Coimbra,CBR
250,[23939647],40.088207325,-8.333184574999999,Miranda do Corvo,MCV
251,"[24005353, 1285367886, 1285367887, 1285367922]",38.75599637619048,-9.306849642857143,Sintra,SNT
252,"[24064379, 1299364535, 1300751597, 1303015909, 1306850195]",38.73728344545455,-9.231699572727273,Amadora,AMD
253,"[24219835, 891081328, 891081329, 891081330, 1236540522, 1236540523, 1270462940, 1362897912]",38.64717510869565,-8.9930997,Moita,MTA
254,"[24219919, 1020328417, 1020343132, 1020343133, 1270462936, 1355504624, 1355509187, 1362897917]",38.64500150909091,-8.978870245454546,Moita,MTA
255,"[24220014, 370610320, 370610321, 370610322, 370610323, 370610325]",38.68507855,-8.94947599,Montijo,MTJ
256,"[24231832, 683274605, 685219253]",38.75583211428572,-9.169692776190473,Lisboa,LSB
257,"[24267029, 521377145, 521377146, 521377147, 1117129342, 1117129343]",41.44473254761905,-8.302530371428572,Guimarães,GMR
258,[24328854],40.78370651818182,-8.559620436363637,Estarreja,ETR
259,"[24331744, 1285367882, 1285367883, 1285367924, 1314425206, 1314930441]",38.76348483461538,-9.30554763076923,Sintra,SNT
260,"[24331748, 1285367884, 1285367885, 1285367923]",38.758467240740735,-9.307013085185185,Sintra,SNT
261,"[24365673, 1030912558, 1030912559, 1030912560]",41.78037388333333,-8.555384394444445,Ponte de Lima,PTL
262,"[24569486, 1289403038, 1289425845, 1314362067, 1319905794, 1319905795, 1339286253, 1347996835, 1391027503]",38.807101360000004,-9.16776804,Odivelas,ODV
263,"[24571099, 1314362066, 1336554607, 1347996836, 1347996837, 1347996840]",38.80809583571429,-9.163048328571426,Loures,LRS
264,"[24586014, 628676872, 628676873, 628676980, 628676981, 683255895, 683255896, 683255897]",38.7867288975,-9.170831484999999,Odivelas,ODV
